client_id,birth_number,district_id,gender,dob,age,age_group
1,706213,18,Female,1970-12-13,28,25-35
2,450204,1,Male,1945-02-04,53,45-55
3,406009,1,Female,1940-10-09,58,Above 55
4,561201,5,Male,1956-12-01,42,35-45
5,605703,5,Female,1960-07-03,38,35-45
6,190922,12,Male,1919-09-22,79,Above 55
7,290125,15,Male,1929-01-25,69,Above 55
8,385221,51,Female,1938-02-21,60,Above 55
9,351016,60,Male,1935-10-16,63,Above 55
10,430501,57,Male,1943-05-01,55,45-55
11,505822,57,Female,1950-08-22,48,45-55
13,745529,54,Female,1974-05-29,24,18-25
14,425622,76,Female,1942-06-22,56,Above 55
15,185828,21,Female,1918-08-28,80,Above 55
16,190225,21,Male,1919-02-25,79,Above 55
17,341013,76,Male,1934-10-13,64,Above 55
18,315405,76,Female,1931-04-05,67,Above 55
19,421228,47,Male,1942-12-28,56,Above 55
20,790104,46,Male,1979-01-04,19,18-25
21,526029,12,Female,1952-10-29,46,45-55
22,696011,1,Female,1969-10-11,29,25-35
23,730529,1,Male,1973-05-29,25,18-25
24,395729,43,Female,1939-07-29,59,Above 55
25,395423,21,Female,1939-04-23,59,Above 55
26,695420,74,Female,1969-04-20,29,25-35
27,665326,54,Female,1966-03-26,32,25-35
28,450929,1,Male,1945-09-29,53,45-55
29,515911,30,Female,1951-09-11,47,45-55
30,576009,74,Female,1957-10-09,41,35-45
31,620209,68,Male,1962-02-09,36,35-45
32,800728,52,Male,1980-07-28,18,Below 18
33,486204,73,Female,1948-12-04,50,45-55
36,785717,7,Female,1978-07-17,20,18-25
37,700810,7,Male,1970-08-10,28,25-35
38,735723,36,Female,1973-07-23,25,18-25
39,680125,68,Male,1968-01-25,30,25-35
40,575122,5,Female,1957-01-22,41,35-45
41,680827,22,Male,1968-08-27,30,25-35
42,350817,68,Male,1935-08-17,63,Above 55
43,201028,75,Male,1920-10-28,78,Above 55
44,775111,38,Female,1977-01-11,21,18-25
45,520826,20,Male,1952-08-26,46,45-55
46,405130,19,Female,1940-01-30,58,Above 55
47,340714,76,Male,1934-07-14,64,Above 55
48,400209,16,Male,1940-02-09,58,Above 55
49,595511,72,Female,1959-05-11,39,35-45
50,785730,39,Female,1978-07-30,20,18-25
51,796202,36,Female,1979-12-02,19,18-25
52,241212,32,Male,1924-12-12,74,Above 55
53,770505,64,Male,1977-05-05,21,18-25
55,485918,45,Female,1948-09-18,50,45-55
56,600331,21,Male,1960-03-31,38,35-45
57,616217,21,Female,1961-12-17,37,35-45
58,275429,1,Female,1927-04-29,71,Above 55
59,570218,1,Male,1957-02-18,41,35-45
60,800219,67,Male,1980-02-19,18,Below 18
61,485806,16,Female,1948-08-06,50,45-55
62,321208,77,Male,1932-12-08,66,Above 55
63,590604,4,Male,1959-06-04,39,35-45
64,260422,20,Male,1926-04-22,72,Above 55
65,435527,50,Female,1943-05-27,55,45-55
66,516110,1,Female,1951-11-10,47,45-55
67,326111,29,Female,1932-11-11,66,Above 55
68,461214,43,Male,1946-12-14,52,45-55
70,251222,70,Male,1925-12-22,73,Above 55
71,275206,70,Female,1927-02-06,71,Above 55
72,230113,47,Male,1923-01-13,75,Above 55
73,240220,22,Male,1924-02-20,74,Above 55
74,255726,22,Female,1925-07-26,73,Above 55
75,775919,64,Female,1977-09-19,21,18-25
76,676001,36,Female,1967-10-01,31,25-35
77,565218,1,Female,1956-02-18,42,35-45
78,445613,16,Female,1944-06-13,54,45-55
79,695310,37,Female,1969-03-10,29,25-35
80,795225,64,Female,1979-02-25,19,18-25
81,760429,8,Male,1976-04-29,22,18-25
82,796225,8,Female,1979-12-25,19,18-25
83,786225,1,Female,1978-12-25,20,18-25
84,790505,1,Male,1979-05-05,19,18-25
85,610827,1,Male,1961-08-27,37,35-45
86,695720,1,Female,1969-07-20,29,25-35
87,466117,72,Female,1946-11-17,52,45-55
89,515505,1,Female,1951-05-05,47,45-55
90,750817,52,Male,1975-08-17,23,18-25
91,400807,63,Male,1940-08-07,58,Above 55
92,665612,74,Female,1966-06-12,32,25-35
93,250216,3,Male,1925-02-16,73,Above 55
94,470909,43,Male,1947-09-09,51,45-55
95,525803,43,Female,1952-08-03,46,45-55
96,720229,74,Male,1972-02-29,26,25-35
97,651128,26,Male,1965-11-28,33,25-35
98,735504,33,Female,1973-05-04,25,18-25
99,730126,33,Male,1973-01-26,25,18-25
100,425811,44,Female,1942-08-11,56,Above 55
101,430123,68,Male,1943-01-23,55,45-55
102,585910,74,Female,1958-09-10,40,35-45
103,550711,74,Male,1955-07-11,43,35-45
105,800526,31,Male,1980-05-26,18,Below 18
106,686230,68,Female,1968-12-30,30,25-35
107,720623,1,Male,1972-06-23,26,25-35
